no,tgl_iklan,url,harga,kota,LT,LB,KT,KM,KTP,KMP,carport,garasi,listrik,surat,judul,deskripsi
1,03-31-2021,https://www.rumah.com/listing-properti,682200000,Jakarta ,44,52,3,2,0,0,1,0,2200,SHM,"Rumah murah strategis KPR All in, 2 lantai premium","
Rumah Murah Dan Asri Dekat Pintu Tol Anti Banjir Dan Bisa KPR
MARKETING OFFICE RESMI
ALYA RESIDENCE - Batu Belah, Jagakarsa.
Rumah 13 kavling
2 ready type 2 lantai
11 Indent
HARGA KPR sudah Include pajak + biaya KPR

RUMAH 2 LANTAI (Indent)
Luas Tanah 44 m2
Luas Bangunan 52 m2
Kamar Tidur 3
Kamar Mandi 2
Carport 1 Mobil
Listrik 1300 watt
Ruang Cuci Jemur
SHM, IMB, PBB
Cash & KPR"
2,04-01-2021,"Dijual rumah bagus di Taman Modern cakung, Taman Modern, Jakarta Timur, DKI Jakarta, 5 Kamar Tidur, 162 m², Rumah dijual, Oleh Oka ., Rp 2,1 M, 18346218",2100000000,Jakarta ,162,200,4,2,1,1,0,1,3500,SHM,Dijual rumah bagus di Taman Modern cakung,"Dijual Rumah Bagus Di Taman Modern Cakung Jakarta Timur
Dijual rumah bagus di taman modern Cakung Jakarta Timur

Lt 9x18=162m2
Lb 200m2
Kt 4+1
Km 2+1
Pln 3500w
Pam
Ac 5unit,kitchen set
Hadap utara
Row jalan bisa 3mbl,bebas banjirrr....

Hrg 2,1M nego

#OK

HUBUNGI :

OKA LJ HOOKER
0878 7666 0972"
3,04-01-2021,"Rumah di Janur Asri, Kelapa Gading, Kelapa Gading, Jakarta Utara, DKI Jakarta, 4 Kamar Tidur, 200 m², Rumah dijual, Oleh Oka ., Rp 2,9 M, 18347105",2900000000,Jakarta ,102,200,4,2,1,1,1,1,3500,SHM,"Rumah di Janur Asri, Kelapa Gading","Rumah Di Janur Asri, Kelapa Gading
Dijual rumah diKlp Gading Janur Asri

Lt 6x17=102m2
2lantai
Kt 4+1
Km 2+1
Pln 3300w
Pam
Ac 3unit
Row jalan lebar bs dilalui 3mbl.
Shm
Hrg 2,9M nego
"
4,04-01-2021,"Harga Perdana Rumah 3 Lantai di The Heritage Residence Jakarta Barat, Karang Tengah, Cengkareng, Jakarta Barat, DKI Jakarta, 5 Kamar Tidur, 200 m², Rumah dijual, Oleh Muhammad Reza Faisal, Rp 3,2 M, 18305152",4900000000,Jakarta ,149,225,4,3,1,0,2,1,2200,SHM,Harga Perdana Rumah 3 Lantai di The Heritage Residence Jakarta Barat,"Rumah Mewah 3 Lantai Harga Perdana
Launch NOW ! 
GOLDLAND Group, developer properti sejak 1973 resmi luncurkan World's 1st Personalized House, By You :

HERITAGE RESIDENCE at Puri 11

Pertama di dunia, pembeli rumah bisa personalisasi fasad luar rumahnya dengan sangat mewah.

Lokasi super exclusive mudah dicapai melalui tol Kebon Jeruk, pintu tol : Karang Tengah.

▪︎Design rumah tropical resort
▪︎Super limited hanya 357 unit
▪︎Double Gate Way
▪︎Konsep cluster dengan ribuan pohon tropis
▪︎Sanitary all KOHLER
▪︎3 lantai, 4kt + 1 function room, 3 bath & maid room 
▪︎Private Sky Villa in all unit
▪︎Carpot 2 + 1
▪︎Canopy kaca di bawah & atas
▪︎Semi furnish : full kitchen cabinet + Modena & laminated wood parquette di semua room
▪︎Engraved smart door lock
▪︎Granite tile exclusive 80x80 / 60x120
▪︎Steril box Grab & Go Food
▪︎Jaringan fiber optic & listrik bawah tanah

Tipe :
1. THE 7 : 
▪︎tanah 7 x 12,55 (88m2)
▪︎bangunan besar 158m2
▪︎harga Rp 3,2M*

2. THE 7 CORNER :
▪︎tanah 9 x 12,55 (113m2)
▪︎bangunan besar 164m2
▪︎view 270 derajat
▪︎harga Rp 3,7M

3. THE 9 :
▪︎tanah 9 x 13,55 (122m2)
▪︎bangunan besar 220m2
▪︎double ceiling di ruang makan
▪︎harga Rp 4,5M*

4. THE 9 CORNER :
▪︎tanah 11 x 13,55 (149m2)
▪︎bangunan 225m2
▪︎double ceiling di ruang makan
▪︎view 270 derajat
▪︎harga Rp 4,9M*

*Harga cash termasuk PPN & belum termasuk diskon

Cara bayar :
▪︎cash & instal flat 12, 24, 36x
▪︎KPR 5%, 10%, 15%, 20% cicil 12x
▪︎KPR Express

Fasilitas :
▪︎Private Club House Ter-besar di Jakarta Barat & Karang Tengah, total luas 9.650m2
▪︎Joging dan bike area super besar dan panjang
▪︎Basket & Tenis court
▪︎Natural creek indah
▪︎Mini forest
▪︎Water Treatment Khusus

Raih sekarang NUP GOLD untuk pilih unit favorit, dapat harga awal, diskon besar & shopping voucher BoConcept. Pemilihan unit di 1 Mei 2021. 

HERITAGE RESIDENCE
Experience The Full Richness of Living at Puri 11."
5,04-01-2021,"Rumah Mewah Siap Huni Strategis Dekat Toll Jagakarsa Jakarta Selatan, Jagakarsa, Jakarta Selatan, DKI Jakarta, 5 Kamar Tidur, 180 m², Rumah dijual, Oleh Nurul Fatekhah, Rp 2,8 M, 18421775",2800000000,Jakarta ,120,180,4,3,1,1,2,0,2200,SHM,Rumah Mewah Siap Huni Strategis Dekat Toll Jagakarsa Jakarta Selatan,"10 Menit Menuju Toll Andara
FDL 2187RJ
Dijual cepat Rumah Mewah Siap Huni Lokasi Strategis Dekat Toll Jagakarsa Jaksel
Cluster dengan konsep One-Gate System (Security 24 jam)
Lokasi bebas banjir dan akses jalan mobil

Sale Point :
8 Menit ke RSUD Jagakarsa
10 Menit ke Toll Andara
15 Menit ke Toll Ampera
12 Menit ke Transmart Cilandak KKO
15 Menit ke Area CBD Simatupang
10 Menit ke Ragunan Zoo
20 Menit ke Highscope Indonesia School

Spesifikasi :
LT/LB : 120/180
KT/KM : 4+1/3+1
Lantai : 2
Air : Jetpump
Listrik : 2200watt
Tipe : Cluster
Status : Ready
Akses : 2 mobil
Surat : SHM, IMB
Hadap Rumah : Barat
Fasilitas Rumah : Carport, Instalasi AC, Instalasi Water Heater
Fasilitas Cluster : One gate System, Security 24H, CCTV.
Kondisi lingkungan : Bersih, Nyaman, Asri.
Row Cluster : 6m
Bisa Custom : tidak
Unit Tersedia : 2
Total Unit Keseluruhan : 12
Tahun Pembangunan : 2020

? Kenapa harus membeli rumah melalui Amanah Property :
– Legalitas rumah Lengkap dan Aman
– Kami Bantu KPR sampai dengan Akad
– Memiliki Tim Marketing Profesional yang tersertifikasi
– Memiliki Legalitas Resmi (CV)
– Menyediakan Interior berkualitas dengan harga terjangkau
– Menyediakan Konstruksi Bangunan Rumah dengan harga terjangkau
– Menyediakan taman, kanopi, pagar, teralis, dan kolam renang

Informasi dan Konsultasi
via Telpon WA untuk Fast Respon
Harap konfirmasi H-1 untuk jadwalkan survey ke lokasi

Jika berminat sebelum sold segera Booking
AMANAH PROPERTY
Agent Spesialis Jakarta Timur, Jakarta Selatan dan Depok"
6,04-01-2021,"5 Bedrooms Rumah Sunter, Jakarta Utara, DKI Jakarta, Sunter, Jakarta Utara, DKI Jakarta, 5 Kamar Tidur, 360 m², Rumah dijual, Oleh Eric Tukunang, Rp 5,9 M, 14368616",5900000000,Jakarta ,240,360,5,4,2,1,1,1,6600,SHM,"5 Bedrooms Rumah Sunter, Jakarta Utara, DKI Jakarta","Rumah Di Sunter Ukuran 12x20
Di Jual Rumah Sunter, LT 240 m2 (12x20), luas bangunan 360 m2, sertifikat hak milik, kamar tidur 5+2, kamar mandi 4+1, 2 lantai, garasi 1 mobil, carport 1 mobil, hadap selatan, listrik 6600 watt, air PAM, telepon 2 line, AC 6, harga Rp 6.500.000.000,-"
7,04-01-2021,https://www.rumah.com/listing-properti/dijual-cempaka-putih-ada-oleh-muji-asih-18418887,3700000000,Jakarta ,130,225,4,2,0,0,2,1,2200,SHM,Dijual rumah cluster mewah cempaka putih timur,"Dijual rumah cluster mewah cempaka putih timur
                                    Soft Launching ""

HADIR KEMBALI HUNIAN DI JAKARTA PUSAT

Banyaknya Permintaan Pembeli Tentang Rumah Yang Dapat memuat kamar lebih banyak terutama perumahan di Jakarta Pusat.

Maka kami Hadirkan Rumah dengan Luasan tanah dan bangunan yang cukup untuk sebuah keluarga dengan Rincian Sebagai Berikut :

- Kamar Tidur 4 Unit ( Kamar Tidur Utama1, 3 Kamar tidur anak.)

- Dapur

- Ruang tamu

- Kamar Mandi 2 unit

- Carport

- Taman



Rumah yang Ideal untuk sebuah keluarga. Tampilan Rumah Mewah dan Elegan.
 Didukung dengan spesifikasi bahan yang Bagus Kuat dan Tahan Lama.



Alamat Projec :

Jln Cempaka Putih Timur Kel Cempaka Putih Timur Kec Cempaka Putih Kota Jakarta Pusat

Akses 2 Mobil

LEGALITAS SERTIFIKAT HAK MILIK + IMB



Unit Terbatas !!!!

Hanya 2 Unit 

Siapa Cepat Dia Dapat



note : Dapat Rubah Tata Ruang karena Rumah Indent

Serah Terima Kunci 10 Bulan



Penjualan dalam jangka waktu 1 bulan Habis

Spesikasi Bahan dan Teknis :

Pondasi : Ceker Ayam ( Kekuatannya untuk 3 lantai )

Struktur beton bertulang

Pintu Kayu

Jendela Alumunium Fowder Coating 

Listrik 2200 watt

Plafond Hollow Gypsum

Closet Duduk American Standard

Rangka Atap Baja Ringan

Genteng Multi Roop

Air PDAM

Tersedia Instalasi AC

Lantai Granite 60 x 60"
8,04-01-2021,https://www.rumah.com/listing-properti/dijual-claster-town-house-10mnit-ke-mrt-lebak-bulus-p-lbu-oleh-fauzan-17198740,1200000000,Jakarta ,91,135,3,3,0,0,1,1,2200,SHM,Perumahan baru 10mnit ke mrt lebak bulus,"Perumahan baru 10mnit ke mrt lebak bulus
                                    perumahan baru TOWN HOUSE , pinggir jalan besar , 

Luas tanah ± 91M²

Luas bangunan ± 135M² 

Bangunan 2 lantai

Teras

Ruang tamu

Carport 1 mobil

Kamar tidur 3

Kamar mandi 3

Dapur

AC

Wifi 1 th

Listrik 2200

Ruang cuci jemur pakaian

Jalan bisa dilalui 2 mobil

Bebas banjir

Keamanan 24 jam

Sertifikasi SHM

____

Perumahan ini Berlokasi sangat strategis, karena: 

1. Hanya 2 km ke MRT lebak bulus, Point Square, Carefour Lebak bulus

2. Dekat dengan fasilitas pendidikan, seperti Lab school UMJ, sekolah 
Tinggi Ilmi ekonomi Ahmad Dahlan, Universitas Muhammadiyah Jakarta, 
Jakarta International School, BM 400 pondok indah dll.

3. Dekat fasilitas kesehatan, RS. Hermina, RS. Sari Asih, RS. Mayapada Lebak bulus dll.

4. dekat dengan sekolah ALPHARD



cara pembayaran :

- bisa kpr

- dp 0 %  

- bisa cash bertahap

- selisih KPR bisa di cicil 3 th
                                    "
9,04-01-2021,https://www.rumah.com/listing-properti/dijual-jagakarsa-town-house-oleh-arie-18374381,3200000000,Jakarta ,135,215,4,4,0,0,1,1,3500,SHM,Rumah baru Lux classik modern lokasi elite Jagakarsaa,"Rumah baru Lux classik modern lokasi elite Jagakarsaa
                                    Rumah Baru Lux klasik modern ( unit indent 8 bulan ada 3 unit rumah  Dalam Komplek DKI) 



Jagakarsa Jaksel 

Jln timbul blok H Jagakarsa Jaksel 

Akses 2mobil lebar



Luas tanah :135 meter 

Luas bangunan: 215M



( IDR  3,2 M /nego)



Kamar tidur 3+1

Kamar mandi 3+1

Dapur bersih + dapur kotor 

PRIVATE POOL

GARASI 1,Carpot 1

Lokasi strategi hanya beberapa meter ke jl raya

*LOKASI DEKAT KAMPUS  APP ,ISTN,PANCASILA

*LOKASI DEKAT SARANA UMUM 

*LOKASI DEKAT PINTU TOL ,kukusan ,brigib ,Desari 

*LOKASI DEKAT JL TB SIMATUPANG

*BEBAS BANJIR AMAN NYAMAN

*LOKASI SANGAT STRATEGIS

*LOKASI DEKAT DENGAN SARANA KESEHATAN

*Dekat ke kampus UI ,

*Dekat stasiun pancasila

*Dekat Cilandak kko
                                    "
10,04-01-2021,https://www.rumah.com/listing-properti/dijual-kedoya-baru-oleh-andre-tjhia-18026169,2500000000,Jakarta ,178,90,4,4,0,0,1,1,2200,SHM,"Andre Tjhia- Kedoya Baru dkt sunrise, puri indah, 3 lantai, murah","Andre Tjhia- Kedoya Baru dkt sunrise, puri indah, 3 lantai, murah
                                    Kode Listingan : RJ3113AT20        

( Mohon Sebutkan Kode Listing atau Capture iklannya)        

        

Luas Tanah                                  : 90 m² / 6x15

Luas Bangunan                          : 178 m² ( 3 lantai )

Luas Bangunan                          : 3+1

Kamar Mandi                              : 3+1

Sertifikat        : SHM

Hadap        : 

        

Jarang ada yang jual dan lokasi langka        

Akses tanah dekat dengan Pintu Masuk dan Keluar tol        

Sertifikat dan surat lain nya lengkap        

        

Andre Tjhia,  Andre Tjhia,  Andre Tjhia         

* Siap membantu Anda *        

        

Hub. ANDRE TJHIA (nego pemilik)        

0819 9523 5999 & 0812 817 2060
                                    "
