Countries,2004M,2004F,2005M,2005F,2006M,2006F,2007M,2007F,2008M,2008F,2009M,2009F,2010M,2010F,2011M,2011F,2012M,2012F,2013M,2013F,2014M,2014F,Source 
Brunei Darussalam,4.2,5.6,,,7.4,9.2,7.4,9.6,7.5,10.1,7.5,10.7,7.6,11.3,7.5,11.7,7.6,12.4,,,6.2,7.8,ASEAN Secretariat
Cambodia,1.9,2.7,,,,,0.7,0.8,0.3,0.4,0.2,0.1,0.4,0.3,0.3,0.1,0.1,0.2,0.3,0.3,,,ASEAN Secretariat
Indonesia ,10.5,16.8,9.3,14.7,8.5,13.4,8.1,10.8,7.6,9.7,7.5,8.5,6.2,8.7,5.9,7.6,5.8,6.8,6.1,6.5,5.8,6.3,ASEAN Secretariat
Lao's PDR,,,1.3,1.2,,,,,,,,,1.8,2,,,,,,,,,ASEAN Secretariat
Malaysia ,3.4,3.8,3.4,3.7,3.3,3.4,3.1,3.4,3.2,3.7,3.6,3.8,3.2,3.4,2.9,3.3,2.9,3.2,2.9,3.4,,,ASEAN Secretariat
Myanmar,3.6,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.7,4.6,3.8,4,ASEAN Secretariat
Philippines,10.4,11.7,7.4,7.3,7.7,6.9,6.4,6,7,6.6,7.4,6.7,7.4,6.7,6.7,6.1,7,6.7,6.7,5.9,,,ASEAN Secretariat
Singapore,5.6,6.2,3.9,4.5,3.4,3.7,2.8,3.1,3,3.5,4.1,4.7,3,3.4,2.6,3.2,2.7,3.1,2.7,2.9,2.7,2.9,ASEAN Secretariat
Thailand,2.1,2.1,1.9,1.7,1.3,1.1,1.3,1.1,1.3,1,1.2,1.1,0.9,0.8,0.6,0.7,0.6,0.5,0.8,0.8,,,ASEAN Secretariat
Viet Nam,1.9,2.4,,,,,2.3,2.1,2.5,1.9,2.5,2.7,2.3,3.1,1.7,2.4,1.6,2,2,2,2.1,2.1,ASEAN Secretariat
