Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Brunnei Darussalam,,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,43.337,,,,,,,,,,34.65,,,28.637,19.937,,,
Indonesia,,,52.337,,,41.937,,,46.137,,,28.341,,,20.537,27.537,23.237,21.837,19.537,17.237,15.537
Lao People's Democratic Republic,,57.137,,,,,50.337,,,,,43.737,,,,,,32.837,,,
Malaysia,,1.337,,,1.637,,0.437,,,,,,,,,,0.137,,0.137,,
Myanmar,,,,,,,,,,,,,,,35.637,,,,,,
Philippines,25.737,,,23.937,,,18.537,,,19.037,,,18.77,,,19.037,,,15.237,,
Singapore,,,,,,,,,50.237,,,,32.316,18.737,,,13.037,,5.937,,
Thailand,,6.637,,3.137,,1.937,,1.637,2.437,2.337,,1.244,,,,0.737,,0.337,0.337,,
Viet Nam,,,63.437,,,,,48.237,,,,38.437,,26.618,,20.345,,15.837,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
