Countries,Status,2007Export,2007Import,2008Export,2008Import,2009Export,2009Import,2010Export,2010Import,2011Export,2011Import,2012Export,2012Import,2013Export,2013Import,2014Export,2014Import,2015Export,2015Import,2016Export,2016Import
Brunei Darussalam,Intra-ASEAN,"2,149,511,558.28","1,043,276,218.54","2,480,394,931.28","1,200,094,778.44","1,187,066,587.87","1,255,112,067.84","1,096,169,746.88","1,234,407,237.19","1,733,545,901.80","1,548,798,686.07","2,104,147,108.29","1,603,025,635.11","2,644,351,256.62","1,843,656,602.89","2,093,000,403.09","1,767,648,750.60","1,239,487,950.86","1,405,443,372.04","1,216,841,338.12","1,290,425,299.13"
Brunei Darussalam,Extra-ASEAN,"5,503,729,585.99","1,053,400,289.40","7,787,569,637.85","1,306,620,663.83","5,964,903,471.75","1,195,413,075.53","7,741,009,066.36","1,202,569,438.32","10,706,961,693.52","1,393,995,624.84","11,076,453,500.75","2,071,039,282.85","8,801,222,926.26","1,768,174,533.06","8,491,140,910.79","1,828,910,471.10","5,114,436,134.25","1,832,794,860.90","3,656,949,069.43","1,379,809,110.98"
Brunei Darussalam,World,"7,653,241,144.26","2,096,676,507.95","10,267,964,569.13","2,506,715,442.26","7,151,970,059.62","2,450,525,143.37","8,837,178,813.24","2,436,976,675.51","12,440,507,595.32","2,942,794,310.91","13,180,600,609.04","3,674,064,917.96","11,445,574,182.88","3,611,831,135.96","10,584,141,313.88","3,596,559,221.70","6,353,924,085.11","3,238,238,232.94","4,873,790,407.55","2,670,234,410.11"
Cambodia,Intra-ASEAN,"251,421,813.55","1,282,970,649.29","310,619,959.75","1,599,295,843.17","644,631,792.82","1,453,267,959.80","313,480,778.32","1,676,016,522.33","416,875,059.34","2,206,649,292.10","344,533,607.49","2,765,444,686.76","526,747,575.44","2,818,248,856.28","362,196,061.84","2,915,820,513.29","689,537,414.38","4,677,335,961.15","870,181,539.27","4,613,681,441.87"
Cambodia,Extra-ASEAN,"3,654,112,537.83","2,392,135,133.29","4,047,922,605.19","2,817,716,506.66","4,341,165,646.82","2,447,586,041.53","3,512,421,879.14","3,099,266,744.68","4,704,183,600.30","3,892,778,887.59","4,813,665,054.36","4,701,155,967.30","6,139,117,838.92","5,393,347,454.57","6,386,467,618.40","6,743,594,197.66","7,868,172,750.47","7,120,101,941.71","9,202,947,364.05","7,757,326,754.41"
Cambodia,World,"3,905,534,351.38","3,675,105,782.58","4,358,542,564.94","4,417,012,349.83","4,985,797,439.65","3,900,854,001.33","3,825,902,657.46","4,775,283,267.02","5,121,058,659.64","6,099,428,179.69","5,158,198,661.85","7,466,600,654.06","6,665,865,414.36","8,211,596,310.85","6,748,663,680.24","9,659,414,710.95","8,557,710,164.85","11,797,437,902.86","10,073,128,903.32","12,371,008,196.28"
Indonesia,Intra-ASEAN,"22,292,114,745.00","23,792,133,688.00","27,170,819,686.00","40,991,662,181.00","24,623,898,564.00","27,742,398,273.00","33,347,510,079.00","47,124,718,198.00","42,098,872,453.00","51,300,184,712.00","41,831,097,108.00","53,823,355,864.00","40,629,958,093.00","54,030,994,802.00","39,668,109,515.00","50,903,135,935.00","33,572,259,230.00","30,032,577,328.00","33,830,310,393.64","34,817,276,950.00"
Indonesia,Extra-ASEAN,"91,808,776,006.00","50,681,296,430.00","109,849,604,716.00","88,205,644,043.00","91,886,093,217.00","69,086,764,303.00","124,431,593,391.00","88,538,565,850.00","161,397,753,955.00","126,135,371,024.00","148,200,748,124.00","137,866,115,663.00","141,921,840,604.00","132,597,675,078.00","136,311,877,473.00","127,275,680,670.00","116,709,997,665.35","112,662,226,895.00","111,355,900,852.78","100,835,539,551.00"
Indonesia,World,"114,100,890,751.00","74,473,430,118.00","137,020,424,402.00","129,197,306,224.00","116,509,991,781.00","96,829,162,576.00","157,779,103,470.00","135,663,284,048.00","203,496,626,408.00","177,435,555,736.00","190,031,845,232.00","191,689,471,527.00","182,551,798,697.00","186,628,669,880.00","175,979,986,988.00","178,178,816,605.00","150,282,256,895.35","142,694,804,223.00","145,186,211,246.43","135,652,816,501.00"
Lao PDR,Intra-ASEAN,"231,943,371.38","576,491,692.95","604,274,701.28","1,490,858,342.32","997,337,786.08","1,480,796,313.67","1,151,833,526.07","1,487,740,213.71","1,039,812,503.01","1,857,230,376.55","904,677,178.33","1,684,504,271.04","1,345,553,121.00","2,617,420,361.61","1,390,791,152.38","3,486,212,513.81","1,578,003,166.42","2,778,854,105.52","1,550,739,192.29","3,052,364,153.09"
